Date,Open,High,Low,Close,Vol.,Change %,ATR(14),movingstddevclose,movingstddevatr
"Apr 30, 2018",158.64,158.91,158.38,158.74,606.83K,0.05%,0.5614285714285724,0.7192546271858172,0.12933574247011229
"May 02, 2018",158.68,158.7,158.44,158.59,612.13K,-0.09%,0.5400000000000021,0.711892022410966,0.12564584150239147
"May 03, 2018",158.65,159.35,158.43,159.26,894.94K,0.42%,0.5792857142857153,0.7100071357207163,0.12108413013144605
"May 04, 2018",159.14,159.39,159.05,159.08,626.75K,-0.11%,0.5735714285714266,0.7030275945808909,0.11712892040120906
"May 07, 2018",159.1,159.42,159.07,159.31,254.13K,0.14%,0.5557142857142837,0.6954640146459236,0.11304296249322222
"May 08, 2018",159.25,159.28,158.77,158.85,547.05K,-0.29%,0.558571428571426,0.6949658503794499,0.10845235259772779
"May 09, 2018",158.79,158.9,158.52,158.85,585.28K,0.00%,0.5435714285714255,0.6909534475395068,0.10361464865036131
"May 10, 2018",158.84,159.25,158.81,159.07,572.67K,0.14%,0.5042857142857103,0.6891733621743831,0.09944241933495318
"May 11, 2018",158.92,159.16,158.79,158.85,421.37K,-0.14%,0.4949999999999964,0.687727320908945,0.09479508844672624
"May 14, 2018",158.98,159.01,158.12,158.14,747.33K,-0.45%,0.5221428571428532,0.6942046462287818,0.08970378511534567
"May 15, 2018",158.13,158.17,157.61,157.76,832.07K,-0.24%,0.5185714285714239,0.703073441505939,0.08638925946849087
"May 16, 2018",157.9,158.5,157.84,158.18,1.09M,0.27%,0.5407142857142812,0.6998151148472084,0.08437116123340545
"May 17, 2018",158.02,158.39,157.73,157.87,905.26K,-0.20%,0.5349999999999946,0.70773553514075,0.08326231625037746
"May 18, 2018",157.82,158.82,157.8,158.67,777.69K,0.51%,0.5742857142857076,0.7011914837299438,0.08252680450773212
"May 21, 2018",158.64,159.5,158.61,159.24,803.28K,0.36%,0.5999999999999923,0.6919247958634895,0.08211919287068893
"May 22, 2018",159.38,159.43,158.74,158.9,958.51K,-0.21%,0.6278571428571341,0.6770315856697235,0.08188725636004325
"May 23, 2018",159.06,159.84,159.03,159.76,1.20M,0.54%,0.6292857142857063,0.6732918184682349,0.08103232865818633
"May 24, 2018",159.7,160.29,159.31,160.22,1.06M,0.29%,0.674999999999993,0.7005301227143934,0.08042674156999176
"May 25, 2018",160.09,161.34,160.05,161.02,1.33M,0.50%,0.7421428571428501,0.7616161234486295,0.08214334544173195
"May 28, 2018",160.75,162.0,160.29,161.93,857.65K,0.57%,0.8257142857142797,0.872595448196078,0.08833814241221401
"May 29, 2018",161.86,164.15,161.79,162.8,1.72M,0.54%,0.9671428571428524,0.9946159919028095,0.09946293622635548
