Date,Open,High,Low,Close,Vol.,Change %,ATR(14)
"May 17, 2018",158.02,158.39,157.73,157.87,905.26K,-0.20%,0.5349999999999946
"May 18, 2018",157.82,158.82,157.8,158.67,777.69K,0.51%,0.5742857142857076
"May 21, 2018",158.64,159.5,158.61,159.24,803.28K,0.36%,0.5999999999999923
"May 22, 2018",159.38,159.43,158.74,158.9,958.51K,-0.21%,0.6278571428571341
"May 23, 2018",159.06,159.84,159.03,159.76,1.20M,0.54%,0.6292857142857063
"May 24, 2018",159.7,160.29,159.31,160.22,1.06M,0.29%,0.674999999999993
"May 25, 2018",160.09,161.34,160.05,161.02,1.33M,0.50%,0.7421428571428501
"May 28, 2018",160.75,162.0,160.29,161.93,857.65K,0.57%,0.8257142857142797
"May 29, 2018",161.86,164.15,161.79,162.8,1.72M,0.54%,0.9671428571428525
"May 30, 2018",163.04,163.06,161.41,162.02,1.63M,-0.48%,1.0535714285714246
"May 31, 2018",161.75,162.23,160.95,162.14,1.47M,0.07%,1.1185714285714243
"Jun 01, 2018",161.67,161.83,160.99,161.46,1.23M,-0.42%,1.1371428571428521
"Jun 04, 2018",161.24,161.42,160.78,160.89,1.74M,-0.35%,1.145714285714283
"Jun 05, 2018",160.82,161.68,160.81,161.46,1.89M,0.35%,1.1549999999999971
"Jun 06, 2018",161.06,161.32,159.94,160.24,600.58K,-0.76%,1.2164285714285694
"Jun 07, 2018",160.12,160.14,159.54,159.57,31.81K,-0.42%,1.1935714285714292
"Jun 08, 2018",160.23,161.13,160.18,160.4,959.96K,0.52%,1.241428571428573
"Jun 11, 2018",160.22,160.22,159.55,159.74,623.12K,-0.41%,1.2528571428571442
"Jun 12, 2018",159.84,159.92,159.37,159.85,634.99K,0.07%,1.2250000000000003
"Jun 13, 2018",159.8,160.22,159.63,160.07,620.45K,0.14%,1.1971428571428586
"Jun 14, 2018",160.0,160.85,159.45,160.71,953.59K,0.40%,1.2050000000000023
"Jun 15, 2018",160.88,161.52,160.75,161.16,792.24K,0.28%,1.1407142857142876
"Jun 18, 2018",161.17,161.41,161.02,161.15,456.23K,-0.01%,1.0
"Jun 19, 2018",161.49,161.86,161.46,161.53,721.42K,0.24%,0.932857142857143
"Jun 20, 2018",161.43,161.69,161.31,161.51,521.73K,-0.01%,0.8685714285714283
"Jun 21, 2018",161.31,162.35,161.26,162.15,977.02K,0.40%,0.8642857142857159
"Jun 22, 2018",162.15,162.24,161.8,162.1,536.05K,-0.03%,0.8471428571428581
"Jun 25, 2018",162.34,162.57,162.01,162.23,510.18K,0.08%,0.8250000000000008
"Jun 26, 2018",162.05,162.37,161.75,162.09,598.32K,-0.09%,0.7607142857142861
"Jun 27, 2018",162.09,162.55,162.01,162.3,607.01K,0.13%,0.7492857142857149
"Jun 28, 2018",162.42,162.66,162.18,162.46,512.92K,0.10%,0.6721428571428569
"Jun 29, 2018",162.15,162.65,161.85,162.55,699.21K,0.06%,0.6685714285714296
"Jul 02, 2018",162.57,162.89,162.42,162.63,460.78K,0.05%,0.6628571428571449
"Jul 03, 2018",162.41,162.81,162.22,162.72,504.75K,0.06%,0.6628571428571449
"Jul 04, 2018",162.6,162.87,162.37,162.55,316.43K,-0.10%,0.5985714285714303
"Jul 05, 2018",162.37,162.78,162.06,162.7,608.84K,0.09%,0.5921428571428586
"Jul 06, 2018",162.5,162.93,162.47,162.82,428.97K,0.07%,0.5971428571428602
"Jul 09, 2018",162.67,162.73,162.35,162.61,406.31K,-0.13%,0.5800000000000024
"Jul 10, 2018",162.49,162.57,162.26,162.38,488.69K,-0.14%,0.5778571428571472
"Jul 11, 2018",162.59,162.8,162.4,162.53,547.38K,0.09%,0.5300000000000052
"Jul 12, 2018",162.55,162.82,162.45,162.77,412.72K,0.15%,0.5250000000000057
"Jul 13, 2018",162.68,163.22,162.66,162.98,452.73K,0.13%,0.5250000000000057
"Jul 16, 2018",162.97,162.97,162.44,162.47,388.74K,-0.31%,0.5192857142857191
"Jul 17, 2018",162.59,162.9,162.57,162.85,365.31K,0.23%,0.5114285714285752
"Jul 18, 2018",162.75,163.2,162.75,162.95,429.74K,0.06%,0.509285714285718
"Jul 19, 2018",162.78,163.26,162.7,163.08,457.41K,0.08%,0.4921428571428602
"Jul 20, 2018",163.16,163.39,162.44,162.53,596.60K,-0.34%,0.5264285714285738
"Jul 23, 2018",162.41,162.54,161.97,162.1,570.47K,-0.26%,0.5250000000000016
"Jul 24, 2018",162.03,162.33,161.82,162.28,536.47K,0.11%,0.5257142857142887
"Jul 25, 2018",162.34,162.47,161.9,162.37,441.50K,0.06%,0.5150000000000026
"Jul 26, 2018",161.95,162.37,161.88,162.18,546.25K,-0.12%,0.5171428571428598
"Jul 27, 2018",162.05,162.23,161.97,162.07,450.08K,-0.07%,0.5021428571428592
"Jul 30, 2018",162.13,162.3,161.33,161.43,631.43K,-0.39%,0.5464285714285718
"Jul 31, 2018",161.9,162.05,161.41,161.58,692.91K,0.09%,0.5621428571428575
"Aug 01, 2018",161.42,161.45,160.86,160.91,690.87K,-0.41%,0.5871428571428571
"Aug 02, 2018",161.16,161.55,161.05,161.26,679.54K,0.22%,0.5928571428571436
"Aug 03, 2018",161.37,162.12,161.37,162.05,668.42K,0.49%,0.6157142857142881
"Aug 06, 2018",162.01,162.38,161.83,162.35,352.12K,0.19%,0.6242857142857149
"Aug 07, 2018",162.23,162.39,161.97,162.01,341.62K,-0.21%,0.6221428571428577
"Aug 08, 2018",162.04,162.27,161.96,162.11,347.53K,0.06%,0.6042857142857149
"Aug 09, 2018",162.27,162.62,162.22,162.5,445.90K,0.24%,0.5728571428571436
"Aug 10, 2018",162.69,163.45,162.69,163.34,754.29K,0.52%,0.6000000000000004
"Aug 13, 2018",163.46,163.62,163.22,163.36,647.39K,0.01%,0.5921428571428565
"Aug 14, 2018",163.35,163.35,163.11,163.21,434.95K,-0.09%,0.5692857142857142
"Aug 15, 2018",163.33,163.82,163.1,163.71,506.86K,0.31%,0.5857142857142849
"Aug 16, 2018",163.41,163.67,163.36,163.49,402.82K,-0.13%,0.5921428571428565
"Aug 17, 2018",163.53,163.88,163.42,163.67,435.26K,0.11%,0.5557142857142858
"Aug 20, 2018",163.65,163.74,163.42,163.73,354.62K,0.04%,0.5328571428571435
"Aug 21, 2018",163.6,163.71,163.17,163.24,469.57K,-0.30%,0.5214285714285722
"Aug 22, 2018",163.36,163.45,162.91,163.0,597.13K,-0.15%,0.5142857142857135
"Aug 23, 2018",163.22,163.23,162.93,163.06,454.72K,0.04%,0.47428571428571126
"Aug 24, 2018",163.01,163.16,162.8,163.09,500.67K,0.02%,0.46071428571428286
"Aug 27, 2018",163.17,163.36,162.55,162.64,391.91K,-0.28%,0.48857142857142677
"Aug 28, 2018",162.67,162.87,162.35,162.52,815.85K,-0.07%,0.5035714285714273
"Aug 29, 2018",162.62,162.68,162.1,162.18,708.02K,-0.21%,0.5085714285714289
"Aug 30, 2018",162.28,163.08,162.13,162.98,865.70K,0.49%,0.5085714285714309
"Aug 31, 2018",162.92,163.32,162.83,163.27,1.04M,0.18%,0.5150000000000006
"Sep 03, 2018",163.19,163.49,163.04,163.21,1.25M,-0.04%,0.529285714285716
"Sep 04, 2018",163.21,163.22,162.8,162.87,1.47M,-0.21%,0.5078571428571438
"Sep 05, 2018",162.88,163.03,162.28,162.44,489.97K,-0.26%,0.5364285714285728
"Sep 06, 2018",162.48,162.7,162.45,162.62,29.85K,0.11%,0.5221428571428574
"Sep 07, 2018",160.42,160.43,159.83,159.95,568.74K,-1.64%,0.6985714285714266
"Sep 10, 2018",159.94,160.1,159.52,159.69,607.67K,-0.16%,0.6999999999999967
"Sep 11, 2018",159.67,159.67,159.23,159.3,612.07K,-0.24%,0.6942857142857122
"Sep 12, 2018",159.35,159.8,159.34,159.63,669.39K,0.21%,0.7085714285714276
"Sep 13, 2018",159.71,159.78,159.26,159.46,676.49K,-0.11%,0.7200000000000009
"Sep 14, 2018",159.5,159.54,159.01,159.17,558.07K,-0.18%,0.7000000000000008
"Sep 17, 2018",159.28,159.29,158.84,159.02,489.77K,-0.09%,0.6949999999999993
"Sep 18, 2018",159.07,159.26,158.66,158.74,650.23K,-0.18%,0.6964285714285694
"Sep 19, 2018",158.67,158.87,158.42,158.62,704.49K,-0.08%,0.6607142857142837
"Sep 20, 2018",158.73,158.93,158.38,158.74,734.23K,0.08%,0.6650000000000001
"Sep 21, 2018",158.75,159.1,158.68,159.0,530.18K,0.16%,0.6628571428571409
"Sep 24, 2018",159.03,159.14,158.21,158.32,745.99K,-0.43%,0.6992857142857117
"Sep 25, 2018",158.21,158.21,157.75,157.87,783.45K,-0.28%,0.6864285714285684
"Sep 26, 2018",157.92,158.49,157.89,158.04,518.05K,0.11%,0.7121428571428551
"Sep 27, 2018",158.56,158.79,158.02,158.06,861.14K,0.01%,0.5678571428571401
"Sep 28, 2018",158.54,159.25,158.4,158.79,1.05M,0.46%,0.6114285714285695
"Oct 01, 2018",158.74,158.99,158.37,158.77,736.06K,-0.01%,0.6228571428571408
"Oct 02, 2018",159.06,159.78,159.0,159.52,901.21K,0.47%,0.6592857142857115
"Oct 03, 2018",159.17,159.46,158.21,158.93,840.41K,-0.37%,0.7157142857142824
"Oct 04, 2018",157.99,158.48,157.74,158.04,1.04M,-0.56%,0.7628571428571392
"Oct 05, 2018",158.03,158.12,157.33,157.61,848.35K,-0.27%,0.7871428571428538
"Oct 08, 2018",157.56,158.23,157.5,157.95,591.26K,0.22%,0.7964285714285678
"Oct 09, 2018",157.95,158.18,157.61,158.09,880.49K,0.09%,0.8049999999999946
"Oct 10, 2018",158.1,158.16,157.45,157.88,759.65K,-0.13%,0.8164285714285658
"Oct 11, 2018",158.33,158.71,158.12,158.35,927.37K,0.30%,0.8457142857142819
"Oct 12, 2018",158.16,158.74,157.95,158.53,584.15K,0.11%,0.8357142857142849
"Oct 15, 2018",158.66,158.87,158.46,158.59,428.87K,0.04%,0.8242857142857137
"Oct 16, 2018",158.49,158.81,158.34,158.72,578.94K,0.08%,0.8135714285714276
"Oct 17, 2018",158.73,159.24,158.72,159.16,681.73K,0.28%,0.7957142857142868
"Oct 18, 2018",158.89,159.94,158.82,159.52,832.96K,0.23%,0.7907142857142873
"Oct 19, 2018",159.78,160.08,159.07,159.4,1.04M,-0.08%,0.8185714285714312
"Oct 22, 2018",159.07,159.52,158.84,159.34,655.44K,-0.04%,0.7950000000000037
"Oct 23, 2018",159.55,159.98,159.43,159.79,765.60K,0.28%,0.7471428571428598
"Oct 24, 2018",159.67,160.35,159.66,160.18,729.99K,0.24%,0.7114285714285741
"Oct 25, 2018",160.29,160.33,159.83,160.16,681.40K,-0.01%,0.6907142857142888
"Oct 26, 2018",160.32,160.9,160.22,160.87,865.94K,0.44%,0.6914285714285759
"Oct 29, 2018",160.62,160.79,160.06,160.35,729.93K,-0.32%,0.7085714285714337
"Oct 30, 2018",160.35,160.56,159.96,160.44,752.80K,0.06%,0.70071428571429
"Oct 31, 2018",160.2,160.37,160.01,160.26,660.23K,-0.11%,0.6721428571428609
"Nov 01, 2018",160.23,160.27,159.75,159.98,649.79K,-0.17%,0.6528571428571459
"Nov 02, 2018",159.72,159.81,159.45,159.63,658.08K,-0.22%,0.6614285714285748
"Nov 05, 2018",159.6,159.91,159.58,159.74,480.07K,0.07%,0.6514285714285738
"Nov 06, 2018",159.71,160.04,159.61,159.7,525.13K,-0.03%,0.6450000000000001
"Nov 07, 2018",159.82,159.89,159.28,159.5,615.10K,-0.13%,0.6085714285714273
"Nov 08, 2018",159.29,159.51,159.19,159.37,535.80K,-0.08%,0.5592857142857112
"Nov 09, 2018",159.43,160.07,159.43,160.03,578.86K,0.41%,0.5607142857142813
"Nov 12, 2018",159.95,160.45,159.93,160.29,497.50K,0.16%,0.5521428571428524
"Nov 13, 2018",160.19,160.42,159.98,160.08,777.66K,-0.13%,0.5342857142857095
"Nov 14, 2018",160.36,160.47,159.96,160.14,709.58K,0.04%,0.5349999999999946
"Nov 15, 2018",160.14,160.92,160.07,160.81,1.05M,0.42%,0.5428571428571364
"Nov 16, 2018",160.54,160.76,160.54,160.65,590.15K,-0.10%,0.5042857142857083
"Nov 19, 2018",160.73,160.73,160.24,160.6,613.08K,-0.03%,0.4964285714285645
"Nov 20, 2018",160.64,161.04,160.54,160.89,777.05K,0.18%,0.501428571428564
"Nov 21, 2018",160.71,160.78,160.48,160.58,627.43K,-0.19%,0.4935714285714202
"Nov 22, 2018",160.7,160.87,160.53,160.63,436.79K,0.03%,0.4799999999999918
"Nov 23, 2018",160.65,161.19,160.51,161.1,649.26K,0.29%,0.5049999999999935
"Nov 26, 2018",160.93,160.99,160.64,160.74,628.25K,-0.22%,0.5071428571428527
"Nov 27, 2018",160.9,161.21,160.82,161.02,649.68K,0.17%,0.49714285714285367
"Nov 28, 2018",161.0,161.18,160.83,160.9,880.82K,-0.07%,0.4992857142857109
"Nov 29, 2018",161.0,161.42,160.98,161.41,852.04K,0.32%,0.48642857142856755
"Nov 30, 2018",161.31,161.58,161.27,161.54,849.02K,0.08%,0.471428571428569
"Dec 03, 2018",161.01,161.7,161.01,161.5,1.61M,-0.02%,0.4892857142857118
"Dec 04, 2018",161.91,162.43,161.61,162.09,1.92M,0.37%,0.519285714285713
"Dec 05, 2018",162.28,162.45,161.97,161.99,439.47K,-0.06%,0.4928571428571412
"Dec 06, 2018",162.3,162.48,162.12,162.38,25.10K,0.24%,0.5085714285714248
"Dec 07, 2018",163.23,163.46,162.93,163.17,619.94K,0.49%,0.5507142857142843
"Dec 10, 2018",163.49,163.64,162.98,163.4,671.10K,0.14%,0.5621428571428554
"Dec 11, 2018",163.24,163.59,162.83,163.48,741.27K,0.05%,0.5871428571428551
"Dec 12, 2018",163.35,163.53,162.6,162.98,708.40K,-0.31%,0.6292857142857124
"Dec 13, 2018",162.77,163.14,162.51,162.87,806.93K,-0.07%,0.625714285714283
"Dec 14, 2018",162.89,163.3,162.81,163.2,554.18K,0.20%,0.6278571428571402
"Dec 17, 2018",163.28,163.3,162.96,163.14,398.43K,-0.04%,0.6185714285714263
"Dec 18, 2018",163.29,163.55,163.22,163.34,482.97K,0.12%,0.6228571428571428
"Dec 19, 2018",163.48,163.85,163.24,163.38,543.11K,0.02%,0.6292857142857144
"Dec 20, 2018",163.74,164.01,163.41,163.56,696.50K,0.11%,0.6521428571428568
"Dec 21, 2018",163.54,163.54,163.27,163.36,385.74K,-0.12%,0.6235714285714279
"Dec 27, 2018",163.18,163.79,163.15,163.73,334.72K,0.23%,0.6028571428571406
"Dec 28, 2018",163.64,163.76,163.42,163.54,335.36K,-0.12%,0.5928571428571416
"Jan 02, 2019",163.7,164.94,163.58,164.64,713.33K,0.67%,0.6578571428571435
"Jan 03, 2019",164.91,165.1,164.38,164.82,683.68K,0.11%,0.6321428571428568
"Jan 04, 2019",165.01,165.04,163.88,163.97,649.42K,-0.52%,0.6678571428571425
"Jan 07, 2019",163.93,164.32,163.76,163.96,541.36K,-0.01%,0.653571428571429
"Jan 08, 2019",163.76,163.9,163.5,163.74,658.67K,-0.13%,0.6200000000000004
"Jan 09, 2019",163.71,164.11,163.48,163.96,656.38K,0.13%,0.6200000000000025
"Jan 10, 2019",163.93,164.38,163.93,164.21,647.11K,0.15%,0.6171428571428582
"Jan 11, 2019",164.25,164.64,164.16,164.41,563.19K,0.12%,0.6271428571428572
"Jan 14, 2019",164.51,164.88,164.43,164.57,540.34K,0.10%,0.6314285714285697
"Jan 15, 2019",164.62,164.98,164.38,164.89,706.55K,0.19%,0.6307142857142846
"Jan 16, 2019",164.8,164.9,164.36,164.59,638.53K,-0.18%,0.6242857142857129
"Jan 17, 2019",164.72,164.89,164.23,164.3,566.68K,-0.18%,0.6507142857142847
"Jan 18, 2019",164.28,164.34,163.84,164.07,712.27K,-0.14%,0.6407142857142857
"Jan 21, 2019",164.2,164.3,164.04,164.13,272.11K,0.04%,0.635000000000001
"Jan 22, 2019",164.25,164.75,164.12,164.47,608.30K,0.21%,0.5800000000000003
"Jan 23, 2019",164.65,164.77,164.34,164.57,600.56K,0.06%,0.5592857142857152
"Jan 24, 2019",164.72,165.54,164.59,165.32,890.97K,0.46%,0.5457142857142868
"Jan 25, 2019",165.35,165.43,164.96,165.07,603.23K,-0.15%,0.5392857142857151
"Jan 28, 2019",165.19,165.3,164.69,164.91,647.82K,-0.10%,0.5500000000000013
"Jan 29, 2019",164.94,165.28,164.85,165.08,566.21K,0.10%,0.5357142857142857
"Jan 30, 2019",165.24,165.53,164.99,165.18,571.07K,0.06%,0.5421428571428574
"Jan 31, 2019",165.52,165.87,165.3,165.67,801.43K,0.30%,0.5571428571428579
"Feb 01, 2019",165.73,165.77,165.43,165.5,711.77K,-0.10%,0.547857142857144
"Feb 04, 2019",165.61,165.64,165.22,165.28,418.54K,-0.13%,0.5350000000000007
"Feb 05, 2019",165.4,165.52,164.93,165.49,623.60K,0.13%,0.53857142857143
"Feb 06, 2019",165.42,165.68,165.37,165.51,491.94K,0.01%,0.5135714285714305
"Feb 07, 2019",165.59,166.45,165.52,166.36,896.17K,0.51%,0.5450000000000017
"Feb 08, 2019",166.39,166.83,166.26,166.75,635.90K,0.23%,0.5671428571428591
"Feb 11, 2019",166.68,166.73,166.15,166.35,602.03K,-0.24%,0.5650000000000018
"Feb 12, 2019",166.26,166.26,165.84,166.02,634.42K,-0.20%,0.5707142857142864
"Feb 13, 2019",166.0,166.24,165.86,166.12,531.26K,0.06%,0.528571428571429
"Feb 14, 2019",166.22,166.73,166.02,166.54,628.47K,0.25%,0.5457142857142847
"Feb 15, 2019",166.55,166.64,166.28,166.47,474.92K,-0.04%,0.5278571428571398
"Feb 18, 2019",166.53,166.55,166.28,166.36,238.96K,-0.07%,0.5164285714285687
"Feb 19, 2019",166.42,166.75,166.27,166.42,654.66K,0.04%,0.5121428571428542
"Feb 20, 2019",166.45,166.69,166.35,166.51,492.43K,0.05%,0.4871428571428546
"Feb 21, 2019",166.6,166.67,165.85,166.07,983.25K,-0.26%,0.5214285714285681
"Feb 22, 2019",166.17,166.72,166.11,166.62,514.63K,0.33%,0.5378571428571409
"Feb 25, 2019",166.56,166.62,166.2,166.4,530.95K,-0.13%,0.5257142857142847
"Feb 26, 2019",166.5,166.66,166.16,166.27,731.37K,-0.08%,0.539285714285713
"Feb 27, 2019",166.35,166.48,165.56,165.68,1.04M,-0.35%,0.5378571428571409
"Feb 28, 2019",165.71,165.97,165.15,165.31,997.60K,-0.22%,0.5557142857142817
"Mar 01, 2019",165.33,165.38,164.97,165.22,1.04M,-0.05%,0.5421428571428534
"Mar 04, 2019",165.19,165.71,165.01,165.59,1.38M,0.22%,0.5557142857142837
"Mar 05, 2019",165.67,165.79,165.26,165.52,1.42M,-0.04%,0.5664285714285698
"Mar 06, 2019",165.8,166.29,165.63,166.11,335.51K,0.36%,0.5707142857142843
"Mar 07, 2019",166.15,166.28,166.03,166.24,15.40K,0.08%,0.5628571428571425
"Mar 08, 2019",164.44,164.74,164.31,164.39,804.48K,-1.11%,0.6814285714285708
"Mar 11, 2019",164.61,164.62,164.32,164.53,509.73K,0.09%,0.6685714285714296
"Mar 12, 2019",164.25,164.74,163.92,164.54,733.72K,0.01%,0.7028571428571452
