Date,Open,High,Low,Close,Vol.,Change %
"Feb 03, 2022",168.76,168.81,166.84,166.9,1.31M,-1.04%
"Feb 02, 2022",168.81,169.17,168.41,168.66,759.46K,-0.06%
"Feb 01, 2022",169.03,169.54,168.65,168.76,791.63K,-0.21%
"Jan 31, 2022",169.91,169.93,168.81,169.11,935.28K,-0.54%
"Jan 28, 2022",170.21,170.22,169.42,170.02,783.92K,-0.08%
"Jan 27, 2022",169.78,170.42,169.67,170.16,788.20K,-0.11%
"Jan 26, 2022",170.34,170.58,169.66,170.35,685.63K,-0.18%
"Jan 25, 2022",170.62,170.89,170.26,170.66,794.72K,-0.12%
"Jan 24, 2022",170.23,171.07,170.1,170.87,740.08K,0.34%
"Jan 21, 2022",170.0,170.63,169.92,170.29,704.57K,0.32%
"Jan 20, 2022",169.28,169.94,169.21,169.74,614.30K,0.21%
"Jan 19, 2022",169.3,169.54,168.95,169.38,772.80K,-0.11%
"Jan 18, 2022",169.67,169.81,169.31,169.57,737.05K,-0.05%
"Jan 17, 2022",169.8,169.92,169.53,169.65,377.17K,-0.25%
"Jan 14, 2022",170.83,170.95,169.87,170.08,708.78K,-0.37%
"Jan 13, 2022",170.08,171.0,169.86,170.71,722.58K,0.29%
"Jan 12, 2022",169.87,170.51,169.74,170.22,800.92K,0.25%
"Jan 11, 2022",169.92,170.2,169.57,169.79,771.35K,-0.10%
"Jan 10, 2022",169.96,170.21,169.71,169.96,679.20K,-0.02%
"Jan 07, 2022",170.45,170.53,169.88,170.0,613.34K,-0.20%
"Jan 06, 2022",170.53,170.61,169.95,170.34,762.90K,-0.24%
"Jan 05, 2022",170.75,170.93,170.53,170.75,639.22K,-0.04%
"Jan 04, 2022",170.69,171.17,170.5,170.81,717.15K,0.04%
"Jan 03, 2022",171.36,171.53,170.55,170.74,492.41K,-0.37%
"Dec 30, 2021",171.42,171.79,171.31,171.37,314.73K,-0.08%
"Dec 29, 2021",172.31,172.42,171.31,171.51,325.49K,-0.49%
"Dec 28, 2021",172.36,172.47,172.09,172.36,189.53K,-0.03%
"Dec 27, 2021",172.48,172.64,172.08,172.41,180.06K,-0.08%
"Dec 24, 2021",172.54,172.54,172.54,172.54,-,0.06%
"Dec 23, 2021",173.17,173.19,172.28,172.43,371.68K,-0.41%
"Dec 22, 2021",173.47,173.52,172.77,173.14,362.64K,-0.10%
"Dec 21, 2021",174.23,174.44,173.23,173.31,476.94K,-0.64%
"Dec 20, 2021",174.74,174.94,174.09,174.42,403.16K,-0.01%
"Dec 17, 2021",174.25,174.66,174.08,174.43,405.41K,0.22%
"Dec 16, 2021",174.09,174.44,173.43,174.05,667.66K,-0.15%
"Dec 15, 2021",174.39,174.56,174.04,174.32,403.49K,-0.08%
"Dec 14, 2021",174.64,174.75,174.18,174.46,394.66K,-0.13%
"Dec 13, 2021",173.91,174.7,173.89,174.68,359.93K,0.25%
"Dec 10, 2021",174.13,174.27,173.78,174.24,448.42K,0.03%
"Dec 09, 2021",173.59,174.31,173.44,174.19,464.44K,0.77%
"Dec 08, 2021",172.54,172.96,172.4,172.86,8.24K,0.19%
"Dec 07, 2021",172.69,172.79,172.27,172.53,117.81K,-0.22%
"Dec 06, 2021",172.92,173.01,172.6,172.91,662.45K,0.08%
"Dec 03, 2021",172.83,173.14,172.41,172.77,1.12M,0.01%
"Dec 02, 2021",172.47,173.06,172.12,172.75,1.42M,0.40%
"Dec 01, 2021",172.19,172.59,171.63,172.07,1.05M,-0.17%
"Nov 30, 2021",171.99,172.71,171.84,172.37,1.02M,0.20%
"Nov 29, 2021",172.03,172.38,171.65,172.02,671.18K,-0.19%
"Nov 26, 2021",171.19,172.46,171.14,172.34,879.09K,0.80%
"Nov 25, 2021",170.6,171.06,170.6,170.98,349.08K,0.26%
"Nov 24, 2021",170.74,171.18,170.31,170.54,793.13K,-0.16%
"Nov 23, 2021",171.68,171.7,170.56,170.81,784.69K,-0.56%
"Nov 22, 2021",172.19,172.57,171.53,171.77,644.23K,-0.32%
"Nov 19, 2021",171.21,172.42,171.0,172.32,891.76K,0.63%
"Nov 18, 2021",170.94,171.38,170.88,171.24,640.49K,0.28%
"Nov 17, 2021",170.62,170.97,170.55,170.77,537.00K,0.00%
"Nov 16, 2021",170.54,170.86,170.36,170.77,618.97K,0.01%
"Nov 15, 2021",171.01,171.4,170.42,170.75,628.91K,-0.06%
"Nov 12, 2021",170.5,171.07,170.32,170.85,676.53K,0.25%
"Nov 11, 2021",170.41,170.87,170.21,170.42,582.16K,-0.16%
"Nov 10, 2021",171.26,171.38,170.27,170.69,843.97K,-0.33%
"Nov 09, 2021",170.6,171.44,170.52,171.25,709.92K,0.33%
"Nov 08, 2021",171.1,171.12,170.43,170.69,556.85K,-0.22%
"Nov 05, 2021",170.16,171.24,170.06,171.07,850.91K,0.51%
"Nov 04, 2021",169.17,170.33,169.03,170.21,894.29K,0.51%
"Nov 03, 2021",169.25,169.7,168.98,169.34,803.10K,0.01%
"Nov 02, 2021",168.39,169.36,168.31,169.33,875.01K,0.70%
"Nov 01, 2021",168.18,168.56,167.69,168.15,740.86K,0.02%
"Oct 29, 2021",168.95,168.98,167.71,168.12,1.35M,-0.56%
"Oct 28, 2021",169.61,169.65,168.29,169.06,1.27M,-0.28%
"Oct 27, 2021",168.78,169.83,168.51,169.54,958.58K,0.50%
"Oct 26, 2021",168.56,168.97,168.4,168.69,630.95K,0.02%
"Oct 25, 2021",168.44,168.68,168.07,168.65,583.71K,0.22%
"Oct 22, 2021",167.9,168.55,167.84,168.28,758.78K,0.02%
"Oct 21, 2021",168.5,168.8,167.92,168.25,722.50K,-0.27%
"Oct 20, 2021",168.26,168.87,168.08,168.71,678.20K,0.10%
"Oct 19, 2021",169.08,169.48,168.34,168.54,846.46K,-0.34%
"Oct 18, 2021",169.22,169.3,168.64,169.11,913.62K,-0.27%
"Oct 15, 2021",169.84,169.84,169.17,169.56,670.47K,-0.05%
"Oct 14, 2021",168.86,169.92,168.64,169.65,984.02K,0.42%
"Oct 13, 2021",168.34,169.12,168.31,168.94,1.13M,0.31%
"Oct 12, 2021",168.83,169.0,168.21,168.41,1.07M,-0.22%
